Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
R95,132.461,41.021,TopLayer,90
R94,129.921,41.021,TopLayer,90
IC6,81.026,56.896,TopLayer,270
IC5,55.88,56.769,TopLayer,270
IC4,81.026,31.877,TopLayer,270
IC3,55.88,31.623,TopLayer,270
IC2,74.295,100.203,TopLayer,270
R122,102.781,19.939,TopLayer,0
R120,112.7717,19.939,TopLayer,0
R119,122.7623,19.939,TopLayer,0
R118,132.753,19.939,TopLayer,0
R115,47.714,66.952,TopLayer,180
R111,58.674,51.054,TopLayer,270
R110,49.784,52.07,TopLayer,270
R109,56.388,63.119,TopLayer,0
R106,47.117,52.07,TopLayer,270
R105,47.714,46.952,TopLayer,180
R102,45.339,63.246,TopLayer,0
R101,44.45,52.07,TopLayer,270
R99,61.976,56.388,TopLayer,270
R98,44.45,56.642,TopLayer,270
R96,49.784,61.214,TopLayer,0
R92,64.643,56.388,TopLayer,90
R88,47.714,42,TopLayer,180
R86,49.784,29.337,TopLayer,270
R84,58.547,25.908,TopLayer,270
R83,54.61,38.481,TopLayer,0
R80,47.117,29.337,TopLayer,270
R79,87.503,51.689,TopLayer,270
R77,45.466,38.608,TopLayer,0
R76,47.714,22,TopLayer,180
R75,44.45,29.337,TopLayer,270
R74,70.866,57.15,TopLayer,0
R73,82.804,48.895,TopLayer,0
R72,62.23,31.496,TopLayer,270
R71,70.866,52.832,TopLayer,0
R70,44.45,34.163,TopLayer,270
R69,87.503,56.388,TopLayer,270
R68,50.038,36.83,TopLayer,0
R67,82.804,51.562,TopLayer,0
R65,70.866,50.165,TopLayer,0
R64,74.422,58.166,TopLayer,90
R63,64.897,31.496,TopLayer,90
R60,87.249,27.432,TopLayer,270
R59,71.628,32.258,TopLayer,0
R58,82.677,23.749,TopLayer,0
R55,71.628,26.924,TopLayer,0
R54,56.134,82.931,TopLayer,270
R53,66.675,95.504,TopLayer,0
R52,87.249,31.877,TopLayer,270
R51,76.962,94.615,TopLayer,90
R50,79.756,94.615,TopLayer,90
R49,66.675,98.044,TopLayer,180
R48,82.677,26.416,TopLayer,0
R47,53.594,91.313,TopLayer,90
R46,83.566,98.679,TopLayer,180
R45,71.628,29.591,TopLayer,0
R44,64.008,100.584,TopLayer,180
R43,56.134,78.486,TopLayer,270
R42,53.594,78.486,TopLayer,270
R39,75.057,33.147,TopLayer,90
R38,53.594,95.885,TopLayer,90
R37,56.261,95.885,TopLayer,90
R35,80.01,99.695,TopLayer,270
R34,67.564,101.6,TopLayer,270
R32,164.592,90.551,TopLayer,180
R31,72.771,105.029,TopLayer,180
R27,80.899,103.251,TopLayer,180
R21,47.752,78.486,TopLayer,90
R20,67.691,78.486,TopLayer,0
R18,80.391,77.851,TopLayer,90
R17,77.216,77.851,TopLayer,90
R16,67.691,81.026,TopLayer,180
R15,45.339,91.567,TopLayer,90
R14,83.947,81.915,TopLayer,180
R13,65.151,83.566,TopLayer,180
R12,45.085,82.931,TopLayer,90
R11,47.752,82.915,TopLayer,90
R8,45.212,96.012,TopLayer,90
R7,47.879,96.012,TopLayer,90
R6,80.391,82.931,TopLayer,270
R5,68.707,84.582,TopLayer,270
R4,81.407,86.487,TopLayer,0
R3,73.025,88.138,TopLayer,180
LED4,102.654,17.603,TopLayer,180
LED3,112.7293,17.603,TopLayer,180
LED2,122.8047,17.603,TopLayer,180
LED1,132.626,17.653,TopLayer,180
LM7805,182.6595,82.042,TopLayer,180
LM2662_-5V,133.223,99.06,TopLayer,270
LM2662_2.5V,105.791,99.06,TopLayer,270
LM1117,163.449,81.915,TopLayer,180
IC1,74.549,83.439,TopLayer,270
LED5,169.545,90.551,TopLayer,180
C13,64.643,50.419,TopLayer,270
C12,49.657,59.055,TopLayer,180
C11,64.897,26.924,TopLayer,270
C10,50.038,34.671,TopLayer,180
C9,107.442,94.869,TopLayer,180
C8,99.441,98.171,TopLayer,270
C7,154.813,84.836,TopLayer,180
C6,154.813,81.534,TopLayer,180
C5,172.72,84.582,TopLayer,180
C4,173.228,79.502,TopLayer,180
C3,139.954,97.155,TopLayer,180
C2,127.254,98.171,TopLayer,270
C1,154.686,88.773,TopLayer,0
